,Agency,Population,Real Violent Crime Total,Real Violent Crime Rate,Property crime total,Property crime rate,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Violent crime total,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
48,Lino Lakes Police Dept,20910.0,15,71.73601147776183,172,822.6,,0.0,,9.6,0.0,62.2,,129.1,669.5,23.9
49,Little Canada,10083.0,23,228.10671427154617,246,2439.8,,0.0,,39.7,49.6,138.8,,654.6,1418.2,367.0
50,Mankato Public Safety Dept,40360.0,107,265.1139742319128,1753,4343.4,,2.5,,44.6,76.8,141.2,,773.0,3456.4,114.0
51,Maple Grove Police Dept,65318.0,28,42.86720352735846,1087,1664.2,,0.0,,9.2,15.3,18.4,,173.0,1445.2,45.9
52,Maplewood Police Dept,39765.0,75,188.6080724254998,2295,5771.4,,2.5,,42.8,57.8,85.5,,711.7,4662.4,397.3
53,City Of Marshall Police Dept,13370.0,22,164.54749439042632,388,2902.0,,0.0,,37.4,0.0,127.2,,501.1,2288.7,112.2
54,Mendota Heights Police Dept,11158.0,9,80.65961641871303,285,2554.2,,0.0,,9.0,17.9,53.8,,295.8,2231.6,26.9
55,Minneapolis Police Dept,396206.0,4038,1019.1667970702109,19358,4885.8,1019.2,9.1,,97.2,468.4,444.5,4038.0,1161.3,3327.1,397.5
56,Minnetonka Police Dept,51573.0,13,25.206988152715567,863,1673.4,,0.0,,3.9,7.8,13.6,,228.8,1392.2,52.4
57,Moorhead Police Dept,39322.0,38,96.63801434311581,847,2154.0,,2.5,,7.6,15.3,71.2,,401.8,1640.3,111.9
58,Mounds View Police Dept,12486.0,23,184.20631106839662,348,2787.1,,8.0,,40.0,16.0,120.1,,368.4,2266.5,152.2
59,New Brighton Police Dept,21995.0,17,77.29029324846556,548,2491.5,,0.0,,9.1,27.3,40.9,,345.5,1982.3,163.7
60,New Hope Police Dept,20852.0,24,115.09687320161134,454,2177.2,,4.8,,19.2,43.2,48.0,,263.8,1793.6,119.9
61,New Ulm Police Dept,13185.0,15,113.76564277588169,185,1403.1,,0.0,,30.3,0.0,83.4,,311.0,993.6,98.6
62,North Branch Police Dept,9966.0,13,130.44350792695164,339,3401.6,,0.0,,10.0,10.0,110.4,,471.6,2829.6,100.3
63,North Mankato Police Dept,13357.0,22,164.70764393202066,270,2021.4,,0.0,,29.9,15.0,119.8,,486.6,1407.5,127.3
64,North St Paul Police Dept,11767.0,5,42.49171411574743,251,2133.1,,0.0,,8.5,17.0,17.0,,331.4,1623.2,178.5
65,Northfield Police Dept,20675.0,18,87.06166868198308,269,1301.1,,0.0,,29.0,9.7,48.4,,198.3,1088.3,14.5
