,District Number,School Number,School Name,Demographic Description,Ending Status,Four Year Percent,Four Year Total,Physical Line 1,Physical City,Physical State,Physical Zip,Latitude,Longitude
773,4160,10,SPECTRUM HIGH SCHOOL,All Students,Graduate,92.31,52.0,17796 Industrial Circle NW,Elk River,MN,55330-4754,45.2934112,-93.5511485
775,4166,10,EAST RANGE ACADEMY OF TECH-SCIENCE,All Students,Graduate,71.15,52.0,2000 Siegel Blvd,Eveleth,MN,55734-8642,47.4804383,-92.5203564
776,4166,10,EAST RANGE ACADEMY OF TECH-SCIENCE,All Students,Graduate,71.15,52.0,2000 Siegel Blvd,Eveleth,MN,55734,47.4804383,-92.5203564
777,4178,10,LINCOLN INTERNATIONAL SCHOOL,All Students,Graduate,34.43,61.0,2520 Minnehaha Ave,Minneapolis,MN,55404-2650,44.95625099999999,-93.24044699999999
778,4178,10,LINCOLN INTERNATIONAL SCHOOL,All Students,Graduate,34.43,61.0,2520 Minnehaha Ave,Minneapolis,MN,55404,44.95625099999999,-93.24044699999999
779,4183,10,LIONSGATE ACADEMY - MINNETONKA,All Students,Graduate,31.82,22.0,5605 Green Circle Drive,Minnetonka,MN,55343,44.9008408,-93.4074923
782,4200,10,STEP ACADEMY CHARTER SCHOOL,All Students,Graduate,89.74,39.0,835  5th St E.,Saint Paul,MN,55106,44.9597528,-93.0650971
784,4204,10,ROCHESTER STEM ACADEMY,All Students,Graduate,80.0,30.0,415 16th St SW,Rochester,MN,55902-2125,44.000609,-92.4692237
786,4207,10,VERMILION COUNTRY SCHOOL,All Students,Graduate,66.67,12.0,1 Enterprise Drive,Tower,MN,55790-0000,47.8037785,-92.2787036
787,4207,10,VERMILION COUNTRY SCHOOL,All Students,Graduate,66.67,12.0,1 Enterprise Dr,Tower,MN,55790-4000,47.8037785,-92.2787036
789,4217,10,DREAM TECHNICAL ACADEMY,All Students,Graduate,60.0,20.0,1705 16th Street NE,Willmar,MN,56201,45.14321289999999,-95.01817559999999
790,4217,20,CHOICE TECHNICAL ACADEMY,All Students,Graduate,20.0,15.0,315 South Grove Ave,Owatonna,MN,55060,44.0821417,-93.2201113
791,4229,10,JANE GOODALL ENVIRONMENTAL SCIENCE ACADEMY,All Students,Graduate,45.45,11.0,8046 83rd Street NW,Maple Lake,MN,55358,45.271057,-94.0570429
793,4237,10,CAREER PATHWAYS,All Students,Graduate,44.62,65.0,1355 Pierce Butler Rt,Saint Paul,MN,55104,44.9683565,-93.15738999999999
795,4238,10,ROCHESTER BEACON ACADEMY,All Students,Graduate,81.82,11.0,2521 Pennington Dr. NW,Rochester,MN,55901,44.0713771,-92.4994505
798,6012,20,ZUMBRO AREA LEARNING CENTER,All Students,Graduate,56.67,30.0,630 1st Ave NW,Byron,MN,55920,44.0355396,-92.6463038
801,6014,20,RUNESTONE REGIONAL LEARNING CENTER,All Students,Graduate,38.64,44.0,700 Northside Dr NE,Alexandria,MN,56308-5080,45.9017649,-95.36495509999999
804,6026,20,WEST CENTRAL AREA LEARNING CENTER,All Students,Graduate,43.48,23.0,9 West 2nd St S,Melrose,MN,56378,45.6730694,-94.81506759999999
806,6049,20,RIVER BEND AREA LEARNING CENTER,All Students,Graduate,44.0,50.0,1315 S Broadway,New Ulm,MN,56073-2223,44.29968100000001,-94.44661699999999
807,6051,10,REACH PROGRAMS,All Students,Graduate,40.0,10.0,395 Guernsey Lane,Red Wing,MN,55066-2093,44.536811,-92.5171628
808,6051,621,TOWER VIEW ALTERNATIVE HIGH SCHOOL,All Students,Graduate,46.15,39.0,154 Tower View Drive,Red Wing,MN,55066-2093,44.5692656,-92.6370108
810,6076,10,NORTHLAND LEARNING CENTER 010,All Students,Graduate,64.0,25.0,1201 S 13th Ave,Virginia,MN,55792-3361,47.5144064,-92.55499420000001
811,6076,20,NORTHLAND LEARNING CENTER 020,All Students,Graduate,7.14,14.0,1201 S 13th Ave,Virginia,MN,55792-3361,47.5144064,-92.55499420000001
818,6095,550,OAKLAND EDUCATION CENTER,All Students,Graduate,30.0,10.0,2001 2nd AVe NW,Austin,MN,55912,43.6681915,-93.0021657
