,District Number,School Number,School Name,Demographic Description,Ending Status,Four Year Percent,Four Year Total,Physical Line 1,Physical City,Physical State,Physical Zip,Latitude,Longitude
615,2171,30,KITTSON CENTRAL SECONDARY,All Students,Graduate,95.65,23.0,444 N Ash,Hallock,MN,56728-0670,48.7801781,-96.94779059999999
616,2172,20,KENYON-WANAMINGO SENIOR HIGH,All Students,Graduate,89.83,59.0,400 6th St,Kenyon,MN,55946-1199,44.2675905,-92.99177619999999
617,2174,20,PINE RIVER-BACKUS HIGH SCHOOL,All Students,Graduate,94.34,53.0,810 1st St N,Pine River,MN,56474,46.7217144,-94.4093429
618,2174,30,PINE RIVER-BACKUS AREA LEARNING CTR,All Students,Graduate,56.25,16.0,1000 1st St N,Pine River,MN,56474,46.7217144,-94.4093429
619,2176,20,WARREN-ALVARADO-OSLO SECONDARY,All Students,Graduate,96.43,28.0,224 E Bridge Ave,Warren,MN,56762,48.193501,-96.7669341
620,2180,20,MACCRAY SENIOR HIGH,All Students,Graduate,86.36,44.0,711 Wolverine Dr,Clara City,MN,56222-0690,44.9568946,-95.3748002
621,2184,4,LUVERNE SENIOR HIGH,All Students,Graduate,95.29,85.0,709 N Kniss,Luverne,MN,56156-1229,43.6613712,-96.2161938
622,2190,22,YELLOW MEDICINE EAST HIGH SCHOOL,All Students,Graduate,95.16,62.0,450 9th Ave,Granite Falls,MN,56241-1399,44.8106041,-95.5451452
623,2198,456,FILLMORE CENTRAL SENIOR HIGH,All Students,Graduate,98.04,51.0,145 Main Ave S,Harmony,MN,55939-0599,43.552756,-92.010868
624,2215,2,NORMAN COUNTY EAST SECONDARY,All Students,Graduate,94.44,18.0,408 W Main Ave,Twin Valley,MN,56584-0420,47.26159819999999,-96.2660959
625,2310,3,SIBLEY EAST-ARLINGTON SENIOR HIGH,All Students,Graduate,93.68,95.0,202 3rd Ave NW,Arlington,MN,55307-1000,44.6088488,-94.0795326
626,2311,20,CLEARBROOK-GONVICK SECONDARY,All Students,Graduate,88.89,27.0,16770 Clearwater Lake Rd,Clearbrook,MN,56634-4223,47.7049954,-95.4335334
627,2342,3,WEST CENTRAL AREA SECONDARY,All Students,Graduate,97.87,47.0,301 County Rd 2,Barrett,MN,56311-0278,45.9073205,-95.89712279999999
628,2358,20,TRI-COUNTY SECONDARY,All Students,Graduate,100.0,20.0,303 Pembina Tr,Karlstad,MN,56732-4405,48.5739932,-96.5243733
629,2364,2,BELGRADE-BROOTEN-ELROSA SEC.,All Students,Graduate,92.73,55.0,710 Washburn Ave,Belgrade,MN,56312-0339,45.4464374,-95.0002097
630,2396,300,A.C.G.C. SECONDARY,All Students,Graduate,93.22,59.0,27250 MN Hwy 4,Grove City,MN,56243-5003,45.1426636,-94.68282260000001
631,2397,20,LE SUEUR-HENDERSON HIGH SCHOOL,All Students,Graduate,87.93,58.0,901 E Ferry St,Le Sueur,MN,56058-1699,44.457659,-93.90228900000001
632,2448,20,MARTIN COUNTY WEST SENIOR HIGH,All Students,Graduate,95.16,62.0,16 W 5th St,Sherburn,MN,56171,43.658264,-94.7310766
634,2536,20,GRANADA HUNTLEY EAST CHAIN HIGH SCHOOL,All Students,Graduate,91.3,23.0,300 Reynolds St,Granada,MN,56039-0017,43.6980918,-94.3455455
635,2580,30,EAST CENTRAL SENIOR SECONDARY,All Students,Graduate,92.98,57.0,61085 State Hwy 23,Finlayson,MN,55735,46.1834597,-92.8426712
636,2580,35,CROSSROADS AREA LEARNING CENTER,All Students,Graduate,50.0,28.0,130 Oriole Ave E,Sandstone,MN,55072,46.1381143,-92.8638285
637,2609,20,WIN-E-MAC SECONDARY,All Students,Graduate,90.91,33.0,23130 345th St SE,Erskine,MN,56535-9468,47.6675258,-95.9815386
638,2683,20,GREENBUSH-MIDDLE RIVER SECONDARY,All Students,Graduate,96.77,31.0,401 Park Ave,Greenbush,MN,56726-0070,48.69573889999999,-96.1840734
639,2687,2,HOWARD LAKE-WAVERLY-WINSTED SEC.,All Students,Graduate,90.77,65.0,8700 County Road 6 SW,Howard Lake,MN,55349-5427,45.0282963,-94.0663342
640,2689,8,PIPESTONE SENIOR HIGH,All Students,Graduate,76.19,63.0,1401 7th St SW,Pipestone,MN,56164-2293,43.9977312,-96.33982999999999
641,2711,40,MESABI EAST SECONDARY,All Students,Graduate,86.76,68.0,601 N 1st St W,Aurora,MN,55705-1301,47.532086,-92.2391456
642,2752,60,FAIRMONT JR./SR. HIGH SCHOOL,All Students,Graduate,91.24,137.0,900 Johnson St,Fairmont,MN,56031-4598,43.63673480000001,-94.4495271
644,2753,20,LONG PRAIRIE-GREY SECONDARY SCHOOL,All Students,Graduate,94.83,58.0,510 9th St NE,Long Prairie,MN,56347-1600,45.9817384,-94.8478245
645,2754,2,CEDAR MOUNTAIN SECONDARY,All Students,Graduate,94.59,37.0,310 Somerville Ave N,Morgan,MN,56266-0188,44.4157412,-94.9221925
646,2769,10,MORRIS AREA SECONDARY,All Students,Graduate,93.33,75.0,201 S Columbia Ave,Morris,MN,56267-1598,45.5840523,-95.90267990000001
647,2805,2,ZUMBROTA-MAZEPPA SENIOR HIGH,All Students,Graduate,94.05,84.0,705 Mill St,Zumbrota,MN,55992-0213,44.2889318,-92.6724567
648,2835,20,JANESVILLE-WALDORF-PEMBERTON SEC,All Students,Graduate,90.57,53.0,110 E 3rd St,Janesville,MN,56048-0389,44.1190256,-93.7068644
649,2853,40,LAC QUI PARLE VALLEY SECONDARY,All Students,Graduate,94.12,51.0,2860 291st Ave,Madison,MN,56256-9631,45.0726988,-96.0586682
