,Latitude,Longitude,Company,Facility,Facility ID,Address,City,County,State,Zip
472,44.562,-93.4,,CR MANUFACTURING CO,55364CRMFG5338S,5338 SHORELINE BLVD,MOUND,HENNEPIN,MN,55364
473,45.0722,-93.252,,ZENITH PRODUCTS CO,55364ZNTHP9177Z,9177 ZACHARY LN N,MAPLE GROVE,HENNEPIN,MN,553694002
474,44.4548,-93.5055,BONGARDS' CREAMERIES,BONGARDS' CREAMERIES,55368BNGRD13200,13200 COUNTY RD 51,NORWOOD,CARVER,MN,55368
475,44.4605,-93.5538,,OAK GROVE DAIRY,55368KGRVD123UN,123 UNION ST,NORWOOD YOUNG AMERICA,CARVER,MN,55368
477,45.0641,-93.2352,,CERAM-TRAZ CORP CERAMIC INDL COATINGS,55369CRMTR325HW,325 HWY 81,OSSEO,HENNEPIN,MN,55369
480,45.0659,-93.2505,,UNIVERSAL PLASTICS INC,55369NVRSL10751,10751 89TH AVE N,MAPLE GROVE,HENNEPIN,MN,55369
481,45.0655,-93.2519,ADVANCED CIRCUITS INC,ADVANCED CIRCUITS MINNESOTA,55369NVRSL8860Z,8860 ZACHARYLANE,MAPLE GROVE,HENNEPIN,MN,55369
482,45.05,-93.27,,SCIMED LIFE SYS INC,55369SCMDL6655W,6655 WEDGWOOD RD,MAPLE GROVE,HENNEPIN,MN,55311
483,45.053,-93.2419,,SILENT KNIGHT,55369SLNTK7550M,7550 MERIDIAN CIR,MAPLE GROVE,HENNEPIN,MN,55369
484,45.0706,-93.2448,,WELLS CONCRETE,55369SPNCR10655,10655 COUNTY RD 81,MAPLE GROVE,HENNEPIN,MN,55369
485,45.0521,-93.2414,LSC COMMUNICATIONS INC,LSC COMMUNICATIONS / MAPLE GROVE,55369THPRN7401K,7401 KILMER LN,MAPLE GROVE,HENNEPIN,MN,55369
487,44.44,-94.07,,PLATO WOODWORK INC,55370PLTWD2003R,200 3RD ST SW,PLATO,MCLEOD,MN,55370
488,45.331,-93.3523,,CRYSTAL CABINET WORKS INC -- PRINCETON,55371CRYST1100C,1100 CRYSTAL DR,PRINCETON,SHERBURNE,MN,55371
489,45.334,-93.3632,,CRYSTAL COMMERCIAL DIV,55371CRYST16081,1608 12TH ST N,PRINCETON,SHERBURNE,MN,55371
490,45.3245,-93.36,,US DISTILLED PRODS CO,55371SDSTL16071,1607 S 12TH ST,PRINCETON,SHERBURNE,MN,55371
491,45.3333,-93.3636,,SMITH SYSTEM MFG CO,55371SMTHS1100S,1100 S 10TH ST,PRINCETON,MILLE LACS,MN,55371
492,45.3332,-93.3122,,WESTLING MFG,55371WSTLN705HY,705 OLD HWY 18 S,PRINCETON,MILLE LACS,MN,55371
494,45.0705,-93.44,,DIVERSIFOAM PRODUCTS,55373DVRSF9091C,9091 COUNTY RD 50,ROCKFORD,HENNEPIN,MN,55373
497,45.1231,-93.3328,,FLEX-O-PRINT,55374FLXPR14329,14329 NORTHDALE BLVD,ROGERS,HENNEPIN,MN,55374
499,45.1127,-93.3221,GRACO INC,GRACO MINNESOTA INC-KOCH CENTER,55374GRCNC20500,20500 DAVID KOCH AVE,ROGERS,HENNEPIN,MN,55374
500,44.463,-93.213,,PROCHASKA LLC,55378CHSKC12502,12502 XENWOOD AVE S,SAVAGE,SCOTT,MN,55378
501,44.4642,-93.2054,,CONTINENTAL MACHINES INC.,55378CNTNN5505W,5505 W 123RD ST,SAVAGE,SCOTT,MN,553781299
502,44.4631,-93.2128,,FABCON INC,55378FBCNN6111W,6111 WEST HWY 13,SAVAGE,SCOTT,MN,553781298
503,45.464,-93.2136,,HEAT-N-GLO,55378HTNGL6665W,6665 W HWY 13,SAVAGE,SCOTT,MN,55378
504,44.4706,-93.1952,KOCH INDUSTRIES INC,FLINT HILLS RESOURCES PINE BEND LLC SAVAGE,55378KCHMT12101,12101 YOSEMITE AVE S,SAVAGE,SCOTT,MN,55378
505,44.4646,-93.201,SILGAN HOLDINGS INC,SILGAN CONTAINERS MANUFACTURING CORP,55378MRCNN12130,12130 LYNN AVE S,SAVAGE,SCOTT,MN,55378
506,44.3,-93.193,,PILLSBURY GREEN GIANT FILM CONVERTING,55378PLLSB12130,12130 LYNN AVE S,SAVAGE,SCOTT,MN,55378
508,44.4729,-93.2705,CONKLIN CO INC,CONKLIN CO INC,55379CNKLN551VA,551 VALLEY PARK DR,SHAKOPEE,SCOTT,MN,55379
509,44.4552,-93.31,GAVILON FERTILIZER LLC,MICROSOURCE LLC,55379CRPMT7632H,7632 HWY 101,SHAKOPEE,SCOTT,MN,55379
510,44.4751,-93.2841,SAINT-GOBAIN CORP,CERTAINTEED SHAKOPEE,55379CRTNT3303E,3303 E 4TH AVE,SHAKOPEE,SCOTT,MN,55379
511,44.4721,-93.2708,,ADC TELECOMMUNICATIONS INC,55379DCTLC1000V,1000 VALLEY PARK DR,SHAKOPEE,SCOTT,MN,55379
512,44.4715,-93.2725,TE CONNECTIVITY LTD,TYCO ELECTRONICS,55379DCTLC1187P,1187 PARK PL,SHAKOPEE,SCOTT,MN,55379
513,44.4747,-93.2748,KURITA AMERICA HOLDINGS INC,FREMONT INDUSTRIES LLC,55379FRMNT4400V,4400 VALLEY INDUSTRIAL BLVD N,SHAKOPEE,SCOTT,MN,55379
514,44.4738,-93.2545,,AGGREGATE INDUSTRIES - SHAKOPEE READY MIX,55379GGRGT681HI,6801 HWY 101,SHAKOPEE,SCOTT,MN,55379
515,44.4752,-93.2752,ANCHOR GLASS CONTAINER CORP,ANCHOR GLASS CONTAINER CORP-SHAKOPEE,55379NCHRG4108V,4108 VALLEY IND US TRIAL BLVD N,SHAKOPEE,SCOTT,MN,55379
516,44.4756,-93.2819,,INLAND CONTAINER CORP,55379NLNDC3900S,3900 STATE HWY 101,SHAKOPEE,SCOTT,MN,55379
517,44.475,-93.3215,,RAHR MALTING CO,55379RHRML800WE,800 W 1ST AVE,SHAKOPEE,SCOTT,MN,55379
518,44.4734,-93.2717,QUAD/GRAPHICS INC,QG PRINTING II CORP,55379SHKPV511SV,5101 S VALLEY INDUSTRIAL BLVD,SHAKOPEE,SCOTT,MN,55379
519,44.4744,-93.2742,,ASHLAND DISTRIBUTION CO,55379SHLND4401V,4401 VALLEY INDUSTRIAL BLVD,SHAKOPEE,SCOTT,MN,55379
520,44.4717,-93.2713,,TSUMURA INTL,55379TSMRN1000V,1000 VALLEY PARK DR,SHAKOPEE,SCOTT,MN,55379
526,44.5019,-93.4719,ELKAY MANUFACTURING CO,ELKAY WOOD PRODUCTS CO,55387MDLLN180IN,180 INDUSTRIAL BLVD,WACONIA,CARVER,MN,55387
527,44.5031,-93.35,,MANUS PRODUCTS INC,55387MNSPR866IN,866 INDUSTRIAL BLVD W,WACONIA,CARVER,MN,55387
528,44.51,-93.47,,PRO-TECH INC,55387PRTCH902SO,902 S PINE ST,WACONIA,CARVER,MN,55387
530,45.035,-93.5827,,KNIGHT COLORS and CHEMICALS CO,55390KNGHT810PA,810 PACIFIC AVE,WAVERLY,WRIGHT,MN,55390
531,44.57,-94.04,,DAIRY FARMERS OF AMERICA INC,55395MDMRC3111S,311 1ST ST N,WINSTED,MCLEOD,MN,55395
532,44.3226,-94.2012,,HEARTLAND CORN PRODUCTS,55396HRTLNHWY19,53331 STATE HIGHWAY 19 EAST,WINTHROP,SIBLEY,MN,55396
533,44.3226,-94.2146,DAIRY FARMERS OF AMERICA INC,DAIRY FARMERS OF AMERICA INC,55396MDMRC212EA,212 E 1ST ST,WINTHROP,SIBLEY,MN,55396
534,44.1806,-92.4107,DAIRY FARMERS OF AMERICA INC,DAIRICONCEPTS LP,55396MDMRCNORTH,1313 N STAR DR,ZUMBROTA,GOODHUE,MN,55992
535,44.4518,-94.55,,TINO'S ITALIAN SPECIALTIES,55397TNSTL301IN,301 INDL BLVD,YOUNG AMERICA,CARVER,MN,55397
538,44.5903,-93.1311,,WEATHER-RITE LLC,55401WTHRR616N5,616 N 5TH ST,MINNEAPOLIS,HENNEPIN,MN,55401
539,44.5837,-93.1654,WANNER ENGINEERING INC,WANNER ENGINEERING INC,55403WNNRN124CH,1204 CHESTNUT AVE,MINNEAPOLIS,HENNEPIN,MN,55403
540,44.573,-93.15,,BYSTROM BROTHERS INC,55404BYSTR2200S,2200 SNELLING AVE SOUTH,MINNEAPOLIS,HENNEPIN,MN,55404
541,44.5841,-93.1732,,A and L LABORATORIES INC,55405LLBRT1001G,1001 GLENWOOD AVE,MINNEAPOLIS,HENNEPIN,MN,554051493
542,44.575,-93.173,,PRECISION PLATING INC,55405PRCSN230NO,230 GIRARD AVE N,MINNEAPOLIS,HENNEPIN,MN,55405
543,44.5646,-93.1403,,BOKER'S INC,55406BKRSN3104S,3104 SNELLING AVE S,MINNEAPOLIS,HENNEPIN,MN,55406
544,44.5716,-93.1357,,FLOUR CITY ARCHITECTURAL METALS,55406FLRCT26372,2637 27TH AVE S,MINNEAPOLIS,HENNEPIN,MN,55406
545,44.5715,-93.1341,,H and B ELEVATORS INC.,55406HNSTN26293,2629 30TH AVE S,MINNEAPOLIS,HENNEPIN,MN,55406
546,44.5715,-93.133,,HIAWATHA METALCRAFT BLDG # 2,55406HWTHM26313,2631 31ST AVE S,MINNEAPOLIS,HENNEPIN,MN,55406
547,44.5715,-93.133,,HIAWATHA METALCRAFT,55406HWTHP3119E,3119 E 26TH ST,MINNEAPOLIS,HENNEPIN,MN,55406
548,44.5555,-93.134,,PURINA MILLS LLC,55406PRNML3901H,3901 HIAWATHA AVE S,MINNEAPOLIS,HENNEPIN,MN,55406
549,44.56,-93.25,,DAYTON ROGERS MANUFACTURING CO,55407DYTNR28241,2824 13TH AVE SO,MINNEAPOLIS,HENNEPIN,MN,55407
550,44.5707,-93.1444,,SMITH FOUNDRY CO,55407SMTHF1855E,1855 E 28TH ST,MINNEAPOLIS,HENNEPIN,MN,55407
551,44.5708,-93.1718,,MIRROR FACTORY INC,55408GYTST2744L,2744 LYNDALE AVE S,MINNEAPOLIS,HENNEPIN,MN,55408
552,44.5657,-93.1634,,NICO PRODUCTS INC,55408NCPRD29291,2929 FIRST AVE S,MINNEAPOLIS,HENNEPIN,MN,55408
555,45.0051,-93.1642,G HOLDINGS INC,GAF BUILDING MATERIALS CORP,55411BLDNG50LOW,50 LOWRY AVE N,MINNEAPOLIS,HENNEPIN,MN,55411
557,45.0,-93.1604,VOGEL PAINT INC,DIAMOND VOGEL-NORTH INC,55411DMNDV2020N,2020 N 2ND ST,MINNEAPOLIS,HENNEPIN,MN,55411
558,45.0039,-93.1649,,GRAPHICS UNLIMITED INC,55411GRPHC3000S,3000 2ND ST NORTH,MINNEAPOLIS,HENNEPIN,MN,55411
559,45.0044,-93.1634,,JAPS/OLSON CO,55411JPSLS30NOR,30 N 31ST AVE,MINNEAPOLIS,HENNEPIN,MN,55411
561,44.5959,-93.1709,DAIRY FARMERS OF AMERICA INC,KEMPS LLC,55411MRGLD420WE,420 W BROADWAY,MINNEAPOLIS,HENNEPIN,MN,554112710
562,44.5953,-93.1625,PIONEER METAL FINISHING LLC,PIONEER METAL FINISHING,55411PNRMT1717W,1717 W RIVER RD,MINNEAPOLIS,HENNEPIN,MN,55411
563,45.0128,-93.1656,,ILLBRUCK FOAMTEC INC.,55412LLBRC3800W,3800 WASHINGTON AVE N,MINNEAPOLIS,HENNEPIN,MN,554122142
564,45.014,-93.1711,,FLAME METALS MINNEAPOLIS PLANT,55412NRTHW4056W,4056 WASHINGTON AVE N,MINNEAPOLIS,HENNEPIN,MN,55412
565,45.013,-93.1652,,FEDERAL FOAM TECHNOLOGIES INC,55412RTXND3558S,3558 2ND ST N,MINNEAPOLIS,HENNEPIN,MN,554122608
566,45.0003,-93.1246,,BUREAU OF ENGRAVING INC ELECTRONICS GROUP,55413BRFNG3311B,3311 BROADWAY ST NE,MINNEAPOLIS,HENNEPIN,MN,554131791
567,44.5848,-93.1549,,PARKER HANNIFIN CORP GRESEN HYDRAULICS,55413DNCRP600HO,600 HOOVER ST NE,MINNEAPOLIS,HENNEPIN,MN,55413
568,44.5955,-93.135,,DAIRY FRESH CO,55413DRYFR2112B,2112 BROADWAY ST NE,MINNEAPOLIS,HENNEPIN,MN,55413
569,45.0,-93.1248,,DAVIS FROST INC,55413FRSTP1209N,1209 NE TYLER ST,MINNEAPOLIS,HENNEPIN,MN,554131586
570,44.5959,-93.1414,,GENERAL MILLS OPERATIONS INC. PURITY OATS FACILITY,55413GNRLM1201J,1201 JACKSON ST NE,MINNEAPOLIS,HENNEPIN,MN,55413
571,44.5548,-93.1505,,GRACO INC,55413GRCNC1024S,1112 SIBLEY ST NE,MINNEAPOLIS,HENNEPIN,MN,554131894
572,44.5949,-93.1623,GRACO INC,GRACO MINNESOTA INC - MINNEAPOLIS,55413GRCNC6011T,1024 SIBLEY ST NE,MINNEAPOLIS,HENNEPIN,MN,55413
573,44.5959,-93.1515,,ELECTRIC MACHINERY CO LLC,55413LCTRC800CE,800 CENTRAL AVE,MINNEAPOLIS,HENNEPIN,MN,55413
574,44.5826,-93.1555,,LAND O'LAKES FARMLAND FEED,55413LNDLK2300N,2300 KENNEDY ST NE,MINNEAPOLIS,HENNEPIN,MN,55413
575,44.593,-93.1434,,MINNESOTA METAL FINISHING INC,55413MNNST909WI,909 WINTER ST NE,MINNEAPOLIS,HENNEPIN,MN,55413
576,44.5955,-93.1351,IP CORP,INTERPLASTIC CORP,55413NTRPL2015N,2015 NE BROADWAY ST,MINNEAPOLIS,HENNEPIN,MN,55413
577,45.001,-93.1509,,PERMATITE MANUFACTURING,55413PRMTT71215,712 NE 15TH AVE,MINNEAPOLIS,HENNEPIN,MN,55413
578,44.5938,-93.1402,,PROSPECT FOUNDRY LLC,55413PRSPC1225W,1225 WINTERS ST NE,MINNEAPOLIS,HENNEPIN,MN,55413
579,44.5924,-93.1525,,SUPERIOR PLATING INC,55413SPRRP3151S,315 FIRST AVE NE,MINNEAPOLIS,HENNEPIN,MN,55413
580,44.5933,-93.1303,,TWIN CITY CHROMIUM PLATING,55413TWNCT641NE,641 HOOVER ST NE,MINNEAPOLIS,HENNEPIN,MN,55413
581,44.5923,-93.1301,,EXCEL METAL FINISHING,55413XCLMT2501N,2501 NE WINTER ST,MINNEAPOLIS,HENNEPIN,MN,55413
582,44.5858,-93.1305,,GREATBATCH LTD (D/B/A GREATBATCH MEDICAL),55414GLBTL73024,730 24TH AVE SE,MINNEAPOLIS,HENNEPIN,MN,55414
583,44.5819,-93.1233,,H B FULLER CO,55414HBFLL520MA,520 MALCOLM AVE SE,MINNEAPOLIS,HENNEPIN,MN,55414
584,44.5903,-93.1239,DIC INTERNATIONAL USA LLC,KOHL and MADDEN PRINTING INK COR P,55414KHLMD78229,782 29TH AVE SE,MINNEAPOLIS,HENNEPIN,MN,55414
585,44.5823,-93.1204,,LIFECORE BIOMEDICAL INC,55414LFCRB31527,315 27TH AVE SE,MINNEAPOLIS,HENNEPIN,MN,55414
586,44.5847,-93.1347,,MCLAUGHLIN GORMLEY KING CO,55414MCLGH1715F,1715 5TH ST SE,MINNEAPOLIS,HENNEPIN,MN,55414
587,44.523,-93.1016,,PECHINEY PLASTIC PACKAGING PPMM,55414MRCNN15026,150 26TH AVE SE,MINNEAPOLIS,HENNEPIN,MN,55414
588,44.593,-93.1431,,BODYCOTE METALLURGICAL,55414MTLLR900EA,900 E HENNEPIN AVE,MINNEAPOLIS,HENNEPIN,MN,55414
589,44.594,-93.011,,METAL MATIC INC,55414MTLMT6292N,629 2ND ST SE,MINNEAPOLIS,HENNEPIN,MN,55414
590,44.5828,-93.1245,,NORTHERN STAR CO,55414NRTHR31715,3171 5TH ST SE,MINNEAPOLIS,HENNEPIN,MN,55414
591,44.5857,-93.1252,,RITRAMA INC,55414NVRSL800KA,800 KASOTA AVE SE,MINNEAPOLIS,HENNEPIN,MN,55414
592,45.0,-93.15,,ADM MILLING CO,55414PLLSB335MA,335 MAIN ST SE,MINNEAPOLIS,HENNEPIN,MN,55414
593,44.59,-93.1458,,PRIVATE LABEL CHEMICALS INC,55414PRVTL601SE,601 2ND ST SE,MINNEAPOLIS,HENNEPIN,MN,55414
594,44.5835,-93.1306,,REICHHOLD CHEMICALS INC,55414SPNCR52525,525 25TH AVE SE,MINNEAPOLIS,HENNEPIN,MN,55414
595,44.592,-93.1225,TWIN CITY DIE CASTINGS CO,TWIN CITY DIE CASTINGS CO,55414TWNCT10703,1070 SE 33RD AVE,MINNEAPOLIS,HENNEPIN,MN,55414
596,44.58,-93.154,,BUREAU OF ENGRAVING INC GRAPHICS DIV,55415BRFNG500S4,500 S 4TH ST,MINNEAPOLIS,HENNEPIN,MN,55415
597,44.5819,-93.1537,,DOUGLAS CORP,55415DGLSC62012,620 12TH AVE S,MINNEAPOLIS,HENNEPIN,MN,554151779
598,44.571,-92.554,,AUGSBURG FORTRESS PUBLISHING,55415GSBRG426S5,426 S 5TH ST,MINNEAPOLIS,HENNEPIN,MN,55415
599,44.5832,-93.1522,,SAMUEL BINGHAM CO,55415SMLBN900SO,900 S 3RD ST,MINNEAPOLIS,HENNEPIN,MN,55415
600,44.5827,-93.1513,,VALSPAR CORP,55415THVLS1101S,1101 S 3RD ST,MINNEAPOLIS,HENNEPIN,MN,55415
601,44.5617,-93.2106,DOUGLAS CORP,DOUGLAS CORP PLATING DIV,55416DGLSC3250X,3520 XENWOOD AVE S,SAINT LOUIS PARK,HENNEPIN,MN,55416
602,44.5758,-93.2118,,HONEYWELL INC,55416HNYWL1625Z,1625 ZARTHAN AVE,SAINT LOUIS PARK,HENNEPIN,MN,55416
603,44.5749,-93.2045,,KAPAK CORP,55416KPKCR5305P,5305 PARKDALE DR,MINNEAPOLIS,HENNEPIN,MN,55416
604,44.5,-93.3,,"CURWOOD MINNESOTA, LLC",55416MRCNN3600A,3600 ALABAMA AVE,SAINT LOUIS PARK,HENNEPIN,MN,554162465
605,44.5638,-93.2032,,NORTHLAND ALUMINUM PRODUCTS I NC,55416NRTHL5005H,5005 COUNTY RD 25,MINNEAPOLIS,HENNEPIN,MN,55416
606,44.5959,-93.202,NESTLE USA INC,"NESTLE HEALTHCARE NUTRITION, INC.",55416SNDZN5320W,5320 W 23RD ST,SAINT LOUIS PARK,HENNEPIN,MN,55416
607,44.5629,-90.2025,,SUPREME FINISHERS INC,55416SPRMF4820W,4820 W 35TH ST,MINNEAPOLIS,HENNEPIN,MN,55416
608,45.005,-93.16,,GRACE-LEE PRODUCTS INC,55418GRCLP25402,2540 2ND ST NE,MINNEAPOLIS,HENNEPIN,MN,554183474
609,45.0057,-93.1607,,HARD CHROME INC,55418HRDCH26312,2631 2ND ST N.E,MINNEAPOLIS,HENNEPIN,MN,55418
610,45.0134,-93.1612,,APPLIED COATING TECHNOLOGY INC PLANT 3,55418LCTRS3225C,3225 COLUMBIA AVE NE,MINNEAPOLIS,HENNEPIN,MN,55418
612,45.01,-93.1552,,MED-TEK INC,55418MDTKN26392,2639 2ND ST NE,MINNEAPOLIS,HENNEPIN,MN,55418
614,45.0028,-93.1447,,UNIVERSAL PLATING INC,55418NVRSL1900M,1900 MONROE ST NE,MINNEAPOLIS,HENNEPIN,MN,55418
615,45.0021,-93.1618,,PACKAGING CORP OF AMERICA,55418PCKGN1821N,1821 N E MARSHALL ST,MINNEAPOLIS,HENNEPIN,MN,55418
616,45.0115,-93.163,,XCEL ENERGY RIVERSIDE GENERATING PLANT,55418RVRSD3100M,3100 MARSHALL ST NE,MINNEAPOLIS,HENNEPIN,MN,55418
617,45.0,-93.15,,WHIRL-AIR-FLOW,55418WHRLR1515C,1515 CENTRAL AVE NE,MINNEAPOLIS,HENNEPIN,MN,55418
618,45.013,-93.153,AZZ INC,ZALK STEEL and SUPPLY CO,55418ZLKST446ST,446 SAINT ANTHONY BLVD,MINNEAPOLIS,HENNEPIN,MN,55418
619,44.5334,-93.1705,HOLCIM (US) INC,AGGREGATE INDUSTRIES MINNEAPOLIS READY MIX,55419GGRGT400W6,400 61ST ST W,MINNEAPOLIS,HENNEPIN,MN,55419
620,44.543,-93.183,API GROUP INC,LEJEUNE STEEL CO,55419LJNST118WE,118 W 60TH ST,MINNEAPOLIS,HENNEPIN,MN,55419
623,44.508,-93.1711,FMS CORP,FMS CORP,55420FMSCR8635H,8635 HARRIET AVE S,BLOOMINGTON,HENNEPIN,MN,55420
624,44.5042,-93.1702,WP CPP HOLDINGS LLC,CONSOLIDATE PRECISION PRODUCTS-MINNEAPOLIS OPERATION,55420HTCHC8701H,8701 HARRIET AVE S,BLOOMINGTON,HENNEPIN,MN,55420
625,44.52,-93.18,,"SEAGATE TECH INC, MPS",55420MGNTC8001E,8001 E BLOOMINGTON FWY,BLOOMINGTON,HENNEPIN,MN,55420
626,44.5053,-93.1705,,ONYX SPECIAL SERVICES INC,55420NYXSP405W8,405 W 86TH ST,BLOOMINGTON,HENNEPIN,MN,55420
627,45.0,-92.32,,DEGUSSA CONSTRUCTION CHEMICALS OPERATIONS INC,55420RXNRD333WE,333 86TH ST,BLOOMINGTON,HENNEPIN,MN,55420
628,44.5008,-93.17,,THERMO KING CORP,55420THRMK314W9,314 W 90TH ST,BLOOMINGTON,HENNEPIN,MN,55420
629,45.0342,-93.164,,ECO FINISHING,55421CFNSH5100I,5100 INDUSTRIAL BLVD,FRIDLEY,ANOKA,MN,55421
630,45.0222,-93.1604,,ADVANCED FLEX INC PLANT 2,55421FZNCX3905C,3905 CALIFORNIA ST NE,COLUMBIA HEIGHTS,ANOKA,MN,55421
631,45.0216,-93.1506,,H B FULLER CO MONARCH DIV,55421HBFLL3900J,3900 JACKSON ST NE,COLUMBIA HEIGHTS,ANOKA,MN,55421
632,45.0347,-93.1607,HB FULLER CO,HB FULLER,55421HBFLL5220M,5220 MAIN ST NE,FRIDLEY,ANOKA,MN,55421
633,45.05,-93.15,,KURT MANUFACTURING CO,55421KRTMF5280M,5280 MAIN ST NE,FRIDLEY,ANOKA,MN,554211594
634,45.0214,-93.155,,ELECTRO LABORATORIES INC,55421LCTRL37573,3757 3RD ST NE,COLUMBIA HEIGHTS,ANOKA,MN,55421
635,45.0359,-93.1611,,LAKELAND CHEMICAL CORP,55421LKLNC5400M,5400 MAIN ST N E,MINNEAPOLIS,ANOKA,MN,55421
636,45.04,-90.15,,MEDTRONIC INC NEUROLOGICAL DIV,55421MDTRN80053,800 53RD AVE NE,COLUMBIA HEIGHTS,ANOKA,MN,55421
637,45.0359,-93.1602,,AMERICAN CONVERTERS INC,55421MRCNC5360N,5360 MAIN ST NE,FRIDLEY,ANOKA,MN,55421
638,45.033,-93.163,,UNITED DEFENSE LP ARMAMENT SYSTEM DIV NAVY IND RESERVE,55421NVLND4800E,4800 E RIVER RD,FRIDLEY,ANOKA,MN,554211498
639,45.0218,-93.1505,,INVEST CAST INC,55421NVSTC71439,716 39TH AVE NE,MINNEAPOLIS,ANOKA,MN,55421
640,45.0339,-93.1631,,QUEBECOR PRINTING,55421QBCRP5101I,5101 INDL BLVD,FRIDLEY,HENNEPIN,MN,55421
641,45.0312,-93.1611,,SAFETRAN SYSTEMS CORP E-M DIV,55421SFTRN4650M,4650 MAIN ST NE,FRIDLEY,ANOKA,MN,554212199
642,45.0352,-93.1633,,ATLAS MFG,55421TLSMN5250I,5250 INDL BLVD NE,FRIDLEY,ANOKA,MN,55421
643,45.0,-93.2145,HONEYWELL INTERNATIONAL INC,HONEYWELL INTERNATIONAL INC HOME and BUILDING TECHNOLOGIES,55422HNYWL1985D,1985 DOUGLAS DRIVE NORTH,GOLDEN VALLEY,HENNEPIN,MN,55422
644,44.5915,-93.211,,TENNANT CO,55422TNNNT701NO,701 N LILAC DR,MINNEAPOLIS,HENNEPIN,MN,554221452
645,44.5426,-93.1843,,BARREL FINISH INC,55423BRRLF7630K,7630 KNOX AVE S,MINNEAPOLIS,HENNEPIN,MN,55423
646,44.5129,-93.1334,,GENERAL DYNAMICS ADVANCED INFORMATION SYSTEMS HQG/D,55425CNTRL3101E,3021 AMERICAN BLVD E,BLOOMINGTON,HENNEPIN,MN,55425
647,44.5051,-93.1407,SKYWATER TECHNOLOGY FOUNDRY INC,SKYWATER TECHNOLOGY FOUNDRY INC,55425CYPRS2401E,2401 E 86TH ST,BLOOMINGTON,HENNEPIN,MN,55425
648,44.5051,-93.1407,,VTC INC RIVER RIDGE,55425VTCNC2401E,2401 E 28TH ST,BLOOMINGTON,HENNEPIN,MN,55425
649,44.5111,-93.1353,,POLAR SEMICONDUCTOR LLC,55425VTCNC2800E,2800 E OLD SHAKOPEE RD,BLOOMINGTON,HENNEPIN,MN,55425
650,44.55,-93.21,,HONEYWELL ADVANCED CIRCUITS INC,55426CNTRL3965M,3965 MEADOWBROOK RD,SAINT LOUIS PARK,HENNEPIN,MN,55426
651,44.5733,-93.2142,,FOOD PRODUCERS INTERNATIONAL,55426FDPRD2401E,2401 EDGEWOOD AVE S,SAINT LOUIS PARK,HENNEPIN,MN,55426
652,44.5607,-93.2206,,FLAME METALS PROCESSING CORP PLANT 1,55426FLMMT7317W,7317 W LAKE ST,SAINT LOUIS PARK,HENNEPIN,MN,55426
653,44.5616,-93.2159,,HARDCOAT INC,55426HRDCT7300W,7300 W LAKE ST,SAINT LOUIS PARK,HENNEPIN,MN,554264358
654,44.5552,-93.2157,,LINDBERG HEAT TREATING CO,55426LNDBR6981O,6981 OXFORD ST,MINNEAPOLIS,HENNEPIN,MN,55344
655,44.56,-93.2138,,LIND ELECTRONICS INC,55426LNDLC6414C,6414 CAMBRIDGE ST,SAINT LOUIS PARK,HENNEPIN,MN,55426
656,44.5717,-93.225,,MAGNETIC PERIPHERALS INC,55426MGNTC6831O,6831 OXFORD ST,SAINT LOUIS PARK,HENNEPIN,MN,554264412
657,44.5553,-93.2233,,SUPER RADIATOR COILS,55426SPRRD6714W,6714 WALKER ST,MINNEAPOLIS,HENNEPIN,MN,554264280
658,45.0143,-93.2247,,DURA-PROCESS CO,55427DRPRC4000W,4000 WINNETKA AVE N,MINNEAPOLIS,HENNEPIN,MN,55427
659,44.5938,-93.2335,GENERAL MILLS INC,GENERAL MILLS OPS INC JAMES FORD BELL TECHNICAL CENTER,55427GNRLM9000P,9000 PLYMOUTH AVE N,GOLDEN VALLEY,HENNEPIN,MN,55427
660,44.591,-93.2145,,HONEYWELL INC,55427HNYWL6300O,6300 OLSON MEMORIAL PKY,GOLDEN VALLEY,HENNEPIN,MN,55427
661,44.58,-93.3108,HAWKINS INC,HAWKINS INC,55427HWKNS3100E,3100 E HENNEPIN AVE,MINNEAPOLIS,HENNEPIN,MN,55413
662,44.5935,-93.2359,LUBRICATION TECHNOLOGIES INC,LUBRICATION TECHNOLOGIES INC,55427LBRCT900ME,900 MENDELSSOHN AVE N,GOLDEN VALLEY,HENNEPIN,MN,55427
663,45.0,-93.15,,DAKOTA GROWERS PASTA CO MINNESOTA DIV,55427NRTHM73003,7300 36TH AVE N,NEW HOPE,HENNEPIN,MN,55427
664,44.5922,-93.2313,,NORTHERN PRINTING INK CORP,55427NRTHR83601,8360 10TH AVE N,GOLDEN VALLEY,HENNEPIN,MN,55427
665,44.525,-93.2451,,NORTRONICS CO INC,55427NRTRN81011,8101 10TH AVE N,GOLDEN VALLEY,HENNEPIN,MN,55427
666,45.0102,-93.2245,,UNIVERSAL PLASTICS INC,55427NVRSL3252W,3252 WINPARK DR,CRYSTAL,HENNEPIN,MN,55427
668,45.0016,-93.225,,RSP PLATING INC,55427RSPPL3968W,3968 WINNETKA AVE,NEW HOPE,HENNEPIN,MN,55427
669,45.0059,-93.2241,,TRC CIRCUITS INC,55427TRCCR3300W,3300 WINPARK DR,CRYSTAL,HENNEPIN,MN,55427
