,Latitude,Longitude,Company,Facility,Facility ID,Address,City,County,State,Zip
309,44.5803,-93.0501,,3M CO ST PAUL INDUSTRIAL ABRASIVES,55144MSNTP935BU,935 BUSH AVE,SAINT PAUL,RAMSEY,MN,551441000
310,44.5958,-93.1,,H M SMYTH CO INC,55164HMSMY1085S,1085 SNELLING AVE NORTH,SAINT PAUL,RAMSEY,MN,55108
311,44.4524,-93.0125,,FLINT HILLS RESOURCES LP,55164KCHRFPOBOA,13155 COURTHOUSE BLVD,ROSEMOUNT,DAKOTA,MN,55068
312,44.46,-93.0225,KOCH INDUSTRIES INC,FLINT HILLS RESOURCES PINE BEND LLC,55164KCHRFPOBOX,13775 CLARK RD,ROSEMOUNT,DAKOTA,MN,55068
313,45.0015,-93.1215,,PAPER CALMENSON and CO,55164PPRCLHIGHW,2500 W COUNTY RD B,SAINT PAUL,RAMSEY,MN,55164
316,45.13,-93.2425,US TSUBAKI INC,BALLANTINE - DIV OF US TSUBAKI,55303BLLNT840MC,840 MCKINLEY ST -,ANOKA,ANOKA,MN,55303
317,45.1329,-93.2436,,FIRESTONE METAL PRODUCTS,55303CPPRS11LUN,1001 LUND BLVD,ANOKA,ANOKA,MN,55303
318,45.1155,-93.2216,VISTA OUTDOOR INC,FEDERAL CARTRIDGE CO,55303FDRLH900EH,900 EHLEN DR,ANOKA,ANOKA,MN,55303
320,45.121,-93.2212,NVENT,NVENT HOFFMAN,55303HFFMN1000N,1000 N ST,ANOKA,ANOKA,MN,55303
321,45.1202,-93.2227,NVENT,NVENT HOFFMAN,55303HFFMN900EH,2100 HOFFMAN WAY,ANOKA,ANOKA,MN,55303
322,45.2307,-93.4614,BRUNSWICK CORP,LIFE FITNESS A DIV OF BRUNSWICK CORP,55303LFFTN14150,14150 SUNFISH LAKE BLVD,RAMSEY,ANOKA,MN,55303
323,45.2307,-93.4614,,LIFE FITNESS CONSUMER DIV,55303LFFTN6043H,6043 HWY 10 NW,RAMSEY,ANOKA,MN,55303
324,45.1235,-93.23,,LAKELAND TOOL and ENGINEERING INC,55303LKLND2939S,2939 6TH AVE N,ANOKA,ANOKA,MN,55303
325,45.1322,-93.2525,,LUND INDUSTRIES INC,55303LNDND911LU,911 LUND BLVD,ANOKA,ANOKA,MN,55303
326,45.135,-93.261,,ALTRON INC,55303LTRNN6700I,6700 BUNKER LAKE BLVD NW,RAMSEY,ANOKA,MN,55303
327,45.133,-93.24,,MENTOR CORP,55303MNTRM800LU,800 LUND BLVD,ANOKA,ANOKA,MN,55303
328,45.1321,-93.2459,MATE PRECISION TOOLING,MATE PRECISION TOOLING,55303MTPNC6400I,1295 LUND BLVD,ANOKA,ANOKA,MN,55303
329,45.1313,-93.2626,,AIRGAS NORTH CENTRAL INC,55303NRTHR6650H,6650 HWY 10 NW,ANOKA,ANOKA,MN,553034599
330,45.1155,-93.2326,,PROFESSIONAL PLATING INC,55303PRFSS2625N,2625 9TH AVE N,ANOKA,ANOKA,MN,55303
331,45.1249,-93.2503,,IMI CORNELIUS INC,55303THCRNONECO,ONE CORNELIUS PL,ANOKA,ANOKA,MN,553031592
332,45.135,-93.2645,,VISION-EASE LENS INC,55303VSNSL7000S,7000 SUNWOOD DR NW,RAMSEY,ANOKA,MN,55303
333,45.16,-93.14,,KNAPP WOODWORKING INC,55304KNPPW16430,16430 HWY 65 NE,HAM LAKE,ANOKA,MN,55304
334,44.4447,-93.1848,,CHART INDUSTRIES INC,55306CHRTN3505C,3505 COUNTY RD 42 W,BURNSVILLE,DAKOTA,MN,55306
335,44.4539,-93.1858,CLIO HOLDINGS,PRINCESS MARBLE ACQUISITION LLC,55306RBCSS14255,14255 SOUTHCROSS DR W,BURNSVILLE,DAKOTA,MN,55306
336,45.23,-93.523,LIBERTY DIVERSIFIED INTERNATIONAL,LIBERTY PAPER INC,55308LBRTY13500,13500 LIBERTY LANE,BECKER,SHERBURNE,MN,55308
337,45.22,-93.534,XCEL ENERGY,XCEL ENERGY SHERBURNE COUNTY GENERATING PLANT,55308NRTHR13999,13999 INDUSTRIAL BLVD,BECKER,SHERBURNE,MN,55308
338,45.1956,-93.4352,CARGILL INC,CARGILL ANIMAL NUTRITION,55309CRGLL100CO,100 COUNTY RD 43,BIG LAKE,SHERBURNE,MN,55309
344,45.0,-92.27,BOSTON SCIENTIFIC CORP,BOSTON SCIENTIFIC WEAVER LAKE CAMPUS,55311BSTNS2SCIM,2 SCIMED PL,MAPLE GROVE,HENNEPIN,MN,55311
345,45.101,-93.5252,,HONEYWELL ELECTRONIC MATERIALS INC,55313NVRSL200CE,200 CENTENNIAL DR,BUFFALO,WRIGHT,MN,55313
